Symbol,Sector,Industry,Cap_Class
SHREYANIND,Forest Materials,Paper & Paper Products,Small Cap
SHRINGARMS,consumer discretionary,diamond cutting / jewellery,Small Cap
SHRIPISTON,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
SHRIRAMFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
SHRIRAMPPS,Realty,"Residential, Commercial Projects",Small Cap
SHYAMMETL,Capital Goods,Iron & Steel Products,Large Cap
SICALLOG,Services,Logistics Solution Provider,Small Cap
SIEMENS,Capital Goods,Heavy Electrical Equipment,Large Cap
SIGIND,Services,Trading & Distributors,Small Cap
SIGMA,Information Technology,IT Enabled Services,Small Cap
SIGNATURE,Realty,"Residential, Commercial Projects",Mid Cap
SIGNPOST,"Media, Entertainment & Publication",Advertising & Media Agencies,Small Cap
SILGO,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
SILINV,Financial Services,Investment Company,Small Cap
SILVERTUC,Information Technology,IT Enabled Services,Small Cap
SIMPLEXINF,Construction,Civil Construction,Small Cap
SINCLAIR,Consumer Services,Hotels & Resorts,Small Cap
SINTERCOM,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SIRCA,Consumer Durables,Paints,Small Cap
SIS,Services,Diversified Commercial Services,Small Cap
SIYSIL,Textiles,Other Textile Products,Small Cap
SJS,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
SJVN,Power,Power Generation,Large Cap
SKFINDIA,Capital Goods,Abrasives & Bearings,Mid Cap
SKFINDUS,industrials,bearings,Mid Cap
SKIPPER,Capital Goods,Heavy Electrical Equipment,Small Cap
SKMEGGPROD,FMCG,Meat Products including Poultry,Small Cap
SKYGOLD,Consumer Durables,"Gems, Jewellery And Watches",Mid Cap
SMARTLINK,Information Technology,Computers Hardware & Equipments,Small Cap
SMARTWORKS,Realty,miscellaneous,Small Cap
SMCGLOBAL,Financial Services,Stockbroking & Allied,Small Cap
SMLMAH,Automobile and Auto Components,automobiles - lcvs / hcvs,Mid Cap
SMLT,Capital Goods,Iron & Steel Products,Small Cap
SMSPHARMA,Healthcare,Pharmaceuticals,Small Cap
SNOWMAN,Services,Logistics Solution Provider,Small Cap
SOBHA,Realty,"Residential, Commercial Projects",Mid Cap
SOFTTECH,Information Technology,Computers - Software & Consulting,Small Cap
SOLARA,Healthcare,Pharmaceuticals,Small Cap
SOLARINDS,Chemicals,Explosives,Large Cap
SOLARWORLD,Power,engineering - turnkey services,Small Cap
SOLEX,Capital Goods,Heavy Electrical Equipment,Small Cap
SOMANYCERA,Consumer Durables,Ceramics,Small Cap
SOMATEX,Textiles,Other Textile Products,Small Cap
SOMICONVEY,Capital Goods,Industrial Products,Small Cap
SONACOMS,Automobile and Auto Components,Auto Components & Equipments,Large Cap
SONAMLTD,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
SONATSOFTW,Information Technology,Computers - Software & Consulting,Mid Cap
SOTL,"Oil, Gas & Consumable Fuels",Lubricants,Small Cap
SOUTHBANK,Financial Services,Private Sector Bank,Mid Cap
SOUTHWEST,"Oil, Gas & Consumable Fuels",Coal,Small Cap
SPAL,Textiles,Garments & Apparels,Small Cap
SPANDANA,Financial Services,Microfinance Institutions,Small Cap
SPARC,Healthcare,Pharmaceuticals,Small Cap
SPECIALITY,Consumer Services,Restaurants,Small Cap
SPECTRUM,Capital Goods,Heavy Electrical Equipment,Small Cap
SPENCERS,Consumer Services,Diversified Retail,Small Cap
SPIC,Chemicals,Fertilizers,Small Cap
SPLIL,Textiles,Trading - Textile Products,Small Cap
SPLPETRO,Chemicals,Petrochemicals,Mid Cap
SPMLINFRA,Construction,Civil Construction,Small Cap
SPORTKING,Textiles,Other Textile Products,Small Cap
SRD,Chemicals,Trading - Chemicals,Small Cap
SREEL,Consumer Durables,Footwear,Small Cap
SRF,Chemicals,Specialty Chemicals,Large Cap
SRHHYPOLTD,Chemicals,Commodity Chemicals,Small Cap
SRM,Construction,Civil Construction,Small Cap
SSDL,Textiles,Garments & Apparels,Small Cap
SSWL,Automobile and Auto Components,Auto Components & Equipments,Small Cap
STALLION,Chemicals,chemicals,Small Cap
STANLEY,Consumer Durables,"Furniture, Home Furnishing",Small Cap
STAR,Healthcare,Pharmaceuticals,Mid Cap
STARCEMENT,Construction Materials,Cement & Cement Products,Mid Cap
STARHEALTH,Financial Services,General Insurance,Large Cap
STARPAPER,Forest Materials,Paper & Paper Products,Small Cap
STARTECK,Financial Services,Non Banking Financial Company (NBFC),Small Cap
STCINDIA,Services,Trading & Distributors,Small Cap
STEELCAS,Capital Goods,Castings & Forgings,Small Cap
STEELCITY,Financial Services,Stockbroking & Allied,Small Cap
STEL,Financial Services,Investment Company,Small Cap
STERTOOLS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
STLTECH,Telecommunication,Telecom - Equipment & Accessories,Mid Cap
STOVEKRAFT,Consumer Durables,Household Appliances,Small Cap
STUDDS,plastic products,plastics products,Small Cap
STYL,Information Technology,computers - software - medium / small,Small Cap
STYLAMIND,Consumer Durables,Plywood Boards/ Laminates,Small Cap
STYLEBAAZA,Consumer Services,Speciality Retail,Small Cap
STYRENIX,Chemicals,Specialty Chemicals,Small Cap
SUBROS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SUDARSCHEM,Chemicals,Dyes And Pigments,Mid Cap
SUDEEPPHRM,Financial ServHealthcareices,pharmaceuticals - indian - bulk drugs & formln,Mid Cap
SUKHJITS,FMCG,Other Agricultural Products,Small Cap
SULA,FMCG,Breweries & Distilleries,Small Cap
SUMEETINDS,Textiles,Other Textile Products,Small Cap
SUMICHEM,Chemicals,Pesticides & Agrochemicals,Mid Cap
SUMIT,Realty,"Residential, Commercial Projects",Small Cap
SUMMITSEC,Financial Services,Non Banking Financial Company (NBFC),Small Cap
SUNCLAY,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SUNDARMFIN,Financial Services,Non Banking Financial Company (NBFC),Large Cap
SUNDRMBRAK,Automobile and Auto Components,Auto Components & Equipments,Small Cap
SUNDRMFAST,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
SUNDROP,FMCG,food - processing - indian,Small Cap
SUNFLAG,Metals & Mining,Iron & Steel,Small Cap
SUNPHARMA,Healthcare,Pharmaceuticals,Large Cap
SUNTECK,Realty,"Residential, Commercial Projects",Small Cap
SUNTV,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Large Cap
SUPERHOUSE,Consumer Durables,Leather And Leather Products,Small Cap
SUPRAJIT,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
SUPREME,Realty,construction,Small Cap
SUPREMEIND,Capital Goods,Plastic Products - Industrial,Large Cap
SUPREMEINF,Healthcare,Medical Equipment & Supplies,Small Cap
SUPRIYA,Healthcare,Pharmaceuticals,Small Cap
SURAJEST,Realty,"Residential, Commercial Projects",Small Cap
SURAJLTD,Capital Goods,Iron & Steel Products,Small Cap
SURAKSHA,Healthcare,Hospital,Small Cap
SURYALAXMI,Textiles,Other Textile Products,Small Cap
SURYAROSNI,Capital Goods,Iron & Steel Products,Small Cap
SURYODAY,Financial Services,Other Bank,Small Cap
SUTLEJTEX,Textiles,Other Textile Products,Small Cap
SUVEN,Healthcare,"Healthcare Research, Analytics & Techno",Small Cap
SUYOG,Telecommunication,Telecom - Infrastructure,Small Cap
SUZLON,Capital Goods,Heavy Electrical Equipment,Large Cap
SWANCORP,Textiles,textiles - products,Mid Cap
SWARAJENG,Capital Goods,"Compressors, Pumps & Diesel Engines",Small Cap
SWELECTES,Capital Goods,Heavy Electrical Equipment,Small Cap
SWIGGY,Consumer Services,E-Retail/ E-Commerce,Large Cap
SWSOLAR,Construction,Civil Construction,Small Cap
SYMPHONY,Consumer Durables,Household Appliances,Small Cap
SYNGENE,Healthcare,"Healthcare Research, Analytics & Techno",Mid Cap
SYRMA,Capital Goods,Industrial Products,Mid Cap
SYSTMTXC,Financial Services,Financial Institution,Small Cap
TAINWALCHM,Capital Goods,Plastic Products - Industrial,Small Cap
TAJGVK,Consumer Services,Hotels & Resorts,Small Cap
TAKE,Healthcare,"Healthcare Research, Analytics & Techno",Small Cap
TALBROAUTO,Automobile and Auto Components,Auto Components & Equipments,Small Cap
TANLA,Information Technology,Software Products,Mid Cap
TARACHAND,Diversified,Diversified,Small Cap
TARAPUR,Capital Goods,Heavy Electrical Equipment,Small Cap
TARC,Realty,"Residential, Commercial Projects",Small Cap
TARIL,Capital Goods,Heavy Electrical Equipment,Small Cap
TARMAT,Construction,Civil Construction,Small Cap
TARSONS,Healthcare,Medical Equipment & Supplies,Small Cap
TASTYBITE,FMCG,Packaged Foods,Small Cap
TATACAP,Financial Services,Financial Institution,Large Cap
TATACHEM,Chemicals,Commodity Chemicals,Mid Cap
TATACOMM,Telecommunication,Telecom - Cellular & Fixed line service,Large Cap
TATACONSUM,FMCG,Tea & Coffee,Large Cap
TATAELXSI,Information Technology,Computers - Software & Consulting,Large Cap
TATAINVEST,Financial Services,Investment Company,Small Cap
TATAPOWER,Power,Integrated Power Utilities,Large Cap
TATASTEEL,Metals & Mining,Iron & Steel,Large Cap
TATATECH,Information Technology,IT Enabled Services,Large Cap
TATVA,Chemicals,Specialty Chemicals,Small Cap
TBOTEK,Consumer Services,"Tour, Travel Related Services",Mid Cap
TBZ,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
TCI,Services,Logistics Solution Provider,Mid Cap
TCIEXP,Services,Logistics Solution Provider,Small Cap
TCPLPACK,Capital Goods,Packaging,Small Cap
TCS,Information Technology,Computers - Software & Consulting,Large Cap
TDPOWERSYS,Capital Goods,Heavy Electrical Equipment,Mid Cap
TEAMLEASE,Services,Diversified Commercial Services,Small Cap
TECHM,Information Technology,Computers - Software & Consulting,Large Cap
TECHNOE,Construction,Civil Construction,Mid Cap
TEGA,Capital Goods,Industrial Products,Mid Cap
TEJASNET,Telecommunication,Telecom - Equipment & Accessories,Mid Cap
TEMBO,Services,Trading & Distributors,Small Cap
TENNIND,Automobile and Auto Components,auto ancillaries,Large Cap
TEXINFRA,Services,Diversified Commercial Services,Small Cap
TEXMOPIPES,Capital Goods,Plastic Products - Industrial,Small Cap
TEXRAIL,Capital Goods,Industrial Products,Small Cap
TFCILTD,Financial Services,Financial Institution,Small Cap
THANGAMAYL,Consumer Durables,"Gems, Jewellery And Watches",Mid Cap
THEINVEST,Financial Services,Other Financial Services,Small Cap
THEJO,Capital Goods,Industrial Products,Small Cap
THELEELA,Services,Hotels & Resorts,Mid Cap
THEMISMED,Healthcare,Pharmaceuticals,Small Cap
THERMAX,Capital Goods,Heavy Electrical Equipment,Large Cap
THOMASCOOK,Consumer Services,"Tour, Travel Related Services",Small Cap
THOMASCOTT,Textiles,Garments & Apparels,Small Cap
THYROCARE,Healthcare,Healthcare Service Provider,Mid Cap
TI,FMCG,Breweries & Distilleries,Mid Cap
TIGERLOGS,transportation,miscellaneous,Small Cap
TIIL,Capital Goods,Iron & Steel Products,Small Cap
TIINDIA,Automobile and Auto Components,Auto Components & Equipments,Large Cap
TIL,Capital Goods,Construction Vehicles,Small Cap
TIMETECHNO,Capital Goods,Plastic Products - Industrial,Small Cap
TIMKEN,Capital Goods,Abrasives & Bearings,Large Cap
TINNARUBR,FMCG,miscellaneous,Small Cap
TIPSFILMS,"Media, Entertainment & Publication","Film Production, Distribution & Exhibit",Small Cap
TIPSMUSIC,"Media, Entertainment & Publication",Media & Entertainment,Mid Cap
TIRUMALCHM,Chemicals,Commodity Chemicals,Small Cap
TIRUPATIFL,Automobile and Auto Components,Auto Components & Equipments,Small Cap
TITAGARH,Capital Goods,Railway Wagons,Mid Cap
TITAN,Consumer Durables,"Gems, Jewellery And Watches",Large Cap
TMB,Financial Services,Private Sector Bank,Mid Cap
TMCV,Automobile and Auto Components,automobiles - lcvs / hcvs,Large Cap
TMPV,Automobile and Auto Components,automobiles - passenger cars,Large Cap
TNPETRO,Chemicals,Petrochemicals,Small Cap
TNPL,Forest Materials,Paper & Paper Products,Small Cap
TOKYOPLAST,Consumer Durables,Plastic Products - Consumer,Small Cap
TOLINS,Automobile and Auto Components,Tyres & Rubber Products,Small Cap
TORNTPHARM,Healthcare,Pharmaceuticals,Large Cap
TORNTPOWER,Power,Integrated Power Utilities,Large Cap
TOTAL,Services,Logistics Solution Provider,Small Cap
TOUCHWOOD,Services,Diversified Commercial Services,Small Cap
TPLPLASTEH,Capital Goods,Packaging,Small Cap
TRACXN,Services,Data Processing Services,Small Cap
TRANSRAILL,Realty,engineering - turnkey services,Mid Cap
TRANSWORLD,Services,Shipping,Small Cap
TRAVELFOOD,consumer discretionary,Hotels & Resorts,Mid Cap
TREJHARA,Information Technology,Computers - Software & Consulting,Small Cap
TREL,Services,Logistics Solution Provider,Small Cap
TRENT,Consumer Services,Speciality Retail,Large Cap
TRF,Capital Goods,Industrial Products,Small Cap
TRIDENT,Textiles,Other Textile Products,Mid Cap
TRIGYN,Information Technology,Computers - Software & Consulting,Small Cap
TRITURBINE,Capital Goods,Heavy Electrical Equipment,Mid Cap
TRIVENI,FMCG,Sugar,Mid Cap
TSFINV,Financial Services,Financial Institution,Mid Cap
TTKHLTCARE,Diversified,Diversified,Small Cap
TTKPRESTIG,Consumer Durables,Household Appliances,Mid Cap
TTML,Telecommunication,Telecom - Cellular & Fixed line service,Mid Cap
TVSELECT,Information Technology,Computers Hardware & Equipments,Small Cap
TVSHLTD,Financial Services,Investment Company,Large Cap
TVSMOTOR,Automobile and Auto Components,2/3 Wheelers,Large Cap
TVSSCS,Services,Logistics Solution Provider,Small Cap
TVSSRICHAK,Automobile and Auto Components,Tyres & Rubber Products,Small Cap
TVTODAY,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Small Cap
UBL,FMCG,Breweries & Distilleries,Large Cap
UCAL,Automobile and Auto Components,Auto Components & Equipments,Small Cap
UCOBANK,Financial Services,Public Sector Bank,Large Cap
UDS,Services,Diversified Commercial Services,Small Cap
UFBL,consumer discretionary,Hotels & Resorts,Small Cap
UFLEX,Capital Goods,Packaging,Small Cap
UFO,"Media, Entertainment & Publication","Film Production, Distribution & Exhibit",Small Cap
UGARSUGAR,FMCG,Sugar,Small Cap
UGROCAP,Financial Services,Non Banking Financial Company (NBFC),Small Cap
UJJIVANSFB,Financial Services,Other Bank,Mid Cap
ULTRACEMCO,Construction Materials,Cement & Cement Products,Large Cap
UMAEXPORTS,Services,Trading & Distributors,Small Cap
UMIYA-MRO,Telecommunication,telecommunications - equipment,Small Cap
UNICHEMLAB,Healthcare,Pharmaceuticals,Small Cap
UNIDT,Capital Goods,Industrial Products,Small Cap
UNIECOM,Information Technology,Software Products,Small Cap
UNIENTER,Chemicals,Trading - Chemicals,Small Cap
UNIMECH,aerospace & defence,engineering,Small Cap
UNIONBANK,Financial Services,Public Sector Bank,Large Cap
UNIPARTS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
UNITDSPR,FMCG,Breweries & Distilleries,Large Cap
UNITEDPOLY,Textiles,Garments & Apparels,Small Cap
UNITEDTEA,FMCG,Tea & Coffee,Small Cap
UNIVASTU,Construction,Civil Construction,Small Cap
UNIVCABLES,Capital Goods,Cables - Electricals,Small Cap
UNIVPHOTO,FMCG,Household Products,Small Cap
UNOMINDA,Automobile and Auto Components,Auto Components & Equipments,Large Cap
UPL,Chemicals,Pesticides & Agrochemicals,Large Cap
URAVIDEF,Automobile and Auto Components,Auto Components & Equipments,Small Cap
URBANCO,Information Technology,miscellaneous,Mid Cap
USHAMART,Capital Goods,Iron & Steel Products,Mid Cap
UTIAMC,Financial Services,Asset Management Company,Mid Cap
UTLSOLAR,industrials,electric equipment,Mid Cap
UTTAMSUGAR,FMCG,Sugar,Small Cap
V2RETAIL,Consumer Services,Speciality Retail,Mid Cap
VADILALIND,FMCG,Dairy Products,Small Cap
VAIBHAVGBL,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
VALIANTLAB,Healthcare,Pharmaceuticals,Small Cap
VALIANTORG,Chemicals,Specialty Chemicals,Small Cap
VARDHACRLC,Textiles,Other Textile Products,Small Cap
VARROC,Automobile and Auto Components,Auto Components & Equipments,Mid Cap
VASCONEQ,Construction,Civil Construction,Small Cap
VASWANI,Metals & Mining,Sponge Iron,Small Cap
VBL,FMCG,Other Beverages,Large Cap
VEDL,Metals & Mining,Diversified Metals,Large Cap
VEEDOL,"Oil, Gas & Consumable Fuels",Lubricants,Small Cap
VENKEYS,FMCG,Meat Products including Poultry,Small Cap
VENTIVE,Services,Hotels & Resorts,Mid Cap
VENUSPIPES,Capital Goods,Iron & Steel Products,Small Cap
VENUSREM,Healthcare,Pharmaceuticals,Small Cap
VERANDA,Consumer Services,E-Learning,Small Cap
VERTOZ,Information Technology,IT Enabled Services,Small Cap
VESUVIUS,Capital Goods,Electrodes & Refractories,Mid Cap
VETO,Consumer Durables,Consumer Electronics,Small Cap
VGL,Textiles,textiles - cotton/blended,Small Cap
VGUARD,Consumer Durables,Household Appliances,Mid Cap
VHL,Financial Services,Non Banking Financial Company (NBFC),Small Cap
VHLTD,Consumer Services,Hotels & Resorts,Small Cap
VIDHIING,Chemicals,Specialty Chemicals,Small Cap
VIDYAWIRES,industrials,electric equipment,Small Cap
VIJAYA,Healthcare,Healthcare Service Provider,Mid Cap
VIKRAMSOLR,industrials,electric equipment,Mid Cap
VIKRAN,industrials,transmisson line towers / equipment,Small Cap
VIMTALABS,Healthcare,"Healthcare Research, Analytics & Techno",Small Cap
VINATIORGA,Chemicals,Specialty Chemicals,Mid Cap
VINCOFE,Services,Trading & Distributors,Small Cap
VINDHYATEL,Telecommunication,Telecom - Infrastructure,Small Cap
VINEETLAB,Healthcare,Pharmaceuticals,Small Cap
VINYLINDIA,Chemicals,Trading - Chemicals,Small Cap
VIPIND,Consumer Durables,Plastic Products - Consumer,Small Cap
VISAKAIND,Construction Materials,Cement & Cement Products,Small Cap
VISASTEEL,Metals & Mining,Iron & Steel,Small Cap
VISHNU,Chemicals,Specialty Chemicals,Small Cap
VLSFINANCE,Financial Services,Investment Company,Small Cap
VMART,Consumer Services,Diversified Retail,Small Cap
VMM,consumer discretionary,trading,Large Cap
VMSTMT,Metals & Mining,steel - medium / small,Small Cap
VOLTAMP,Capital Goods,Heavy Electrical Equipment,Mid Cap
VOLTAS,Consumer Durables,Household Appliances,Large Cap
VPRPL,Construction,Civil Construction,Small Cap
VRAJ,Metals & Mining,Sponge Iron,Small Cap
VRLLOG,Services,Logistics Solution Provider,Small Cap
VSSL,Capital Goods,Iron & Steel Products,Small Cap
VSTIND,FMCG,Cigarettes & Tobacco Products,Small Cap
VSTL,Capital Goods,Iron & Steel Products,Small Cap
VSTTILLERS,Capital Goods,Tractors,Small Cap
VTL,Textiles,Other Textile Products,Mid Cap
WAAREEENER,Capital Goods,Heavy Electrical Equipment,Large Cap
WAAREEINDO,industrials,electric equipment,Small Cap
WAAREERTL,Power,engineering - turnkey services,Mid Cap
WABAG,Utilities,Water Supply & Management,Mid Cap
WAKEFIT,Textiles,textiles - jute - yarn / products,Mid Cap
WALCHANNAG,Capital Goods,Industrial Products,Small Cap
WANBURY,Healthcare,Pharmaceuticals,Small Cap
WCIL,Services,Logistics Solution Provider,Small Cap
WEALTH,Financial Services,Investment Company,Small Cap
WEBELSOLAR,Capital Goods,Other Electrical Equipment,Small Cap
WEIZMANIND,Textiles,Other Textile Products,Small Cap
WEL,Consumer Durables,Household Appliances,Small Cap
WELCORP,Capital Goods,Iron & Steel Products,Large Cap
WELENT,Construction,Civil Construction,Mid Cap
WELINV,Financial Services,Investment Company,Small Cap
WELSPUNLIV,Textiles,Other Textile Products,Mid Cap
WENDT,Capital Goods,Abrasives & Bearings,Small Cap
WESTLIFE,Consumer Services,Restaurants,Mid Cap
WEWIN,Services,Business Process Outsourcing (BPO)/ Kno,Small Cap
WEWORK,miscellaneous,miscellaneous,Mid Cap
WHEELS,Automobile and Auto Components,Auto Components & Equipments,Small Cap
WHIRLPOOL,Consumer Durables,Household Appliances,Mid Cap
WILLAMAGOR,Financial Services,Investment Company,Small Cap
WINDLAS,Healthcare,Pharmaceuticals,Small Cap
WINDMACHIN,Capital Goods,Industrial Products,Small Cap
WIPL,Consumer Durables,Plywood Boards/ Laminates,Small Cap
WIPRO,Information Technology,Computers - Software & Consulting,Small Cap
WOCKPHARMA,Healthcare,Pharmaceuticals,Mid Cap
WONDERLA,Consumer Services,Amusement Parks/ Other Recreation,Small Cap
WORTHPERI,industrials,Packaging,Small Cap
WSI,Construction,Civil Construction,Small Cap
WSTCSTPAPR,Forest Materials,Paper & Paper Products,Small Cap
XCHANGING,Information Technology,Computers - Software & Consulting,Small Cap
XELPMOC,Information Technology,Software Products,Small Cap
XPROINDIA,Capital Goods,Packaging,Small Cap
XTGLOBAL,Information Technology,Computers - Software & Consulting,Small Cap
YASHO,Chemicals,Specialty Chemicals,Small Cap
YATHARTH,Healthcare,Hospital,Mid Cap
YATRA,Consumer Services,"Tour, Travel Related Services",Small Cap
YESBANK,Financial Services,Private Sector Bank,Large Cap
YUKEN,Capital Goods,"Compressors, Pumps & Diesel Engines",Small Cap
ZAGGLE,Information Technology,IT Enabled Services,Small Cap
ZEEL,"Media, Entertainment & Publication",TV Broadcasting & Software Production,Mid Cap
ZENITHEXPO,Consumer Durables,Leather And Leather Products,Small Cap
ZENSARTECH,Information Technology,Computers - Software & Consulting,Mid Cap
ZENTEC,Capital Goods,Aerospace & Defense,Mid Cap
ZFCVINDIA,Automobile and Auto Components,Auto Components & Equipments,Large Cap
ZIMLAB,Healthcare,Pharmaceuticals,Small Cap
ZODIAC,Construction,Civil Construction,Small Cap
ZODIACLOTH,Textiles,Garments & Apparels,Small Cap
ZOTA,Healthcare,Pharmaceuticals,Small Cap
ZUARI,Chemicals,Fertilizers,Small Cap
ZUARIIND,FMCG,Sugar,Small Cap
ZYDUSLIFE,Healthcare,Pharmaceuticals,Large Cap
ZYDUSWELL,FMCG,Packaged Foods,Small Cap
