Symbol,Sector,Industry,Cap_Class
JMA,Automobile and Auto Components,Auto Components & Equipments,Small Cap
JMFINANCIL,Financial Services,Holding Company,Mid Cap
JNKINDIA,Capital Goods,Industrial Products,Small Cap
JOCIL,Chemicals,Specialty Chemicals,Small Cap
JPOLYINVST,Financial Services,Investment Company,Small Cap
JPPOWER,Power,Power Generation,Mid Cap
JSFB,Financial Services,Other Bank,Small Cap
JSL,Metals & Mining,Iron & Steel,Large Cap
JSLL,Healthcare,Pharmaceuticals,Mid Cap
JSWCEMENT,building materials,cement - north india,Mid Cap
JSWENERGY,Power,Power Generation,Large Cap
JSWHL,Financial Services,Investment Company,Mid Cap
JSWINFRA,Services,Port & Port services,Large Cap
JSWSTEEL,Metals & Mining,Iron & Steel,Large Cap
JTEKTINDIA,Automobile and Auto Components,Auto Components & Equipments,Small Cap
JTLIND,Capital Goods,Iron & Steel Products,Small Cap
JUBLCPL,Chemicals,chemicals,Small Cap
JUBLFOOD,Consumer Services,Restaurants,Large Cap
JUBLINGREA,Chemicals,Specialty Chemicals,Mid Cap
JUBLPHARMA,Healthcare,Pharmaceuticals,Mid Cap
JUNIPER,Consumer Services,Hotels & Resorts,Small Cap
JUSTDIAL,Consumer Services,Internet & Catalogue Retail,Small Cap
JWL,Capital Goods,Railway Wagons,Mid Cap
JYOTHYLAB,FMCG,Household Products,Mid Cap
JYOTICNC,Capital Goods,Industrial Products,Mid Cap
KABRAEXTRU,Capital Goods,Industrial Products,Small Cap
KAJARIACER,Consumer Durables,Ceramics,Mid Cap
KAKATCEM,Construction Materials,Cement & Cement Products,Small Cap
KALAMANDIR,Consumer Services,Speciality Retail,Small Cap
KALPATARU,Realty,construction,Mid Cap
KALYANIFRG,Capital Goods,Castings & Forgings,Small Cap
KALYANKJIL,Consumer Durables,"Gems, Jewellery And Watches",Large Cap
KAMATHOTEL,Consumer Services,Hotels & Resorts,Small Cap
KANORICHEM,Chemicals,Commodity Chemicals,Small Cap
KANPRPLA,Capital Goods,Packaging,Small Cap
KANSAINER,Consumer Durables,Paints,Mid Cap
KAPSTON,Services,Diversified Commercial Services,Small Cap
KARMAENG,Power,Power Generation,Small Cap
KARURVYSYA,Financial Services,Private Sector Bank,Large Cap
KAVDEFENCE,aerospace & defence,telecommunications - equipment,Small Cap
KAYA,Consumer Services,Wellness,Small Cap
KAYNES,Capital Goods,Industrial Products,Large Cap
KCP,Construction Materials,Cement & Cement Products,Small Cap
KDDL,Consumer Durables,"Gems, Jewellery And Watches",Small Cap
KEC,Construction,Civil Construction,Mid Cap
KECL,Capital Goods,Other Electrical Equipment,Small Cap
KEI,Capital Goods,Cables - Electricals,Large Cap
KERNEX,Services,Transport Related Services,Small Cap
KEYFINSERV,Financial Services,Other Financial Services,Small Cap
KFINTECH,Financial Services,"Depositories, Clearing Houses and Other",Mid Cap
